7/9/2021 6:00   67,7
7/9/2021 6:01   61,8
7/9/2021 6:02   65,1
7/9/2021 6:03   41,5
7/9/2021 6:04   58,4
7/9/2021 6:05   42,4
7/9/2021 6:06   54,2
7/9/2021 6:07   66,5
7/9/2021 6:08   60,6
7/9/2021 6:09   40,2
7/9/2021 6:10   65,3
7/9/2021 6:11   59,7
7/9/2021 6:12   53,5
7/9/2021 6:13   64,6
7/9/2021 6:14   44,2
7/9/2021 6:15   66,7
7/9/2021 6:16   59,6
7/9/2021 6:17   63,5
7/9/2021 6:18   66,6
7/9/2021 6:19   67,1
7/9/2021 6:20   63,3
7/9/2021 6:21   68,1
7/9/2021 6:22   43,9
7/9/2021 6:23   60,8
7/9/2021 6:24   56
7/9/2021 6:25   58,9
7/9/2021 6:26   55,8
7/9/2021 6:27   56,4
7/9/2021 6:28   41,2
7/9/2021 6:29   67,1
7/9/2021 6:30   40,4
7/9/2021 6:31   49,5
7/9/2021 6:32   51
7/9/2021 6:33   42,2
7/9/2021 6:34   59,7
7/9/2021 6:35   51,7
7/9/2021 6:36   69,8
7/9/2021 6:37   59
7/9/2021 6:38   49,9
7/9/2021 6:39   40,9
7/9/2021 6:40   53,4
7/9/2021 6:41   47,1
7/9/2021 6:42   49,4
7/9/2021 6:43   59,5
7/9/2021 6:44   48,4
7/9/2021 6:45   44,5
7/9/2021 6:46   59,9
7/9/2021 6:47   43,4
7/9/2021 6:48   51,7
7/9/2021 6:49   66
7/9/2021 6:50   63,6
7/9/2021 6:51   40,5
7/9/2021 6:52   47,9
7/9/2021 6:53   58,8
7/9/2021 6:54   64,6
7/9/2021 6:55   40,2
7/9/2021 6:56   51,9
7/9/2021 6:57   67,8
7/9/2021 6:58   61,2
7/9/2021 6:59   41,8
7/9/2021 7:00   43
7/9/2021 7:01   57,7
7/9/2021 7:02   44,8
7/9/2021 7:03   69
7/9/2021 7:04   62,1
7/9/2021 7:05   40,7
7/9/2021 7:06   40,3
7/9/2021 7:07   64,4
7/9/2021 7:08   62,7
7/9/2021 7:09   172,8
7/9/2021 7:10   41
7/9/2021 7:11   43,1
7/9/2021 7:12   58,2
7/9/2021 7:13   64,6
7/9/2021 7:14   50,8
7/9/2021 7:15   57,8
7/9/2021 7:16   42,8
7/9/2021 7:17   41,4
7/9/2021 7:18   50,6
7/9/2021 7:19   61,2
7/9/2021 7:20   49,6
7/9/2021 7:21   52,6
7/9/2021 7:22   69,7
7/9/2021 7:23   56,2
7/9/2021 7:24   65,4
7/9/2021 7:25   67,7
7/9/2021 7:26   64,4
7/9/2021 7:27   48,7
7/9/2021 7:28   59
7/9/2021 7:29   58
7/9/2021 7:30   44,5
7/9/2021 7:31   48,7
7/9/2021 7:32   53,2
7/9/2021 7:33   53,9
7/9/2021 7:34   45,6
7/9/2021 7:35   46
7/9/2021 7:36   55,7
7/9/2021 7:37   54,3
7/9/2021 7:38   54,1
7/9/2021 7:39   41,6
7/9/2021 7:40   45,7
7/9/2021 7:41   66,6
7/9/2021 7:42   48,1
7/9/2021 7:43   69,7
7/9/2021 7:44   53,8
7/9/2021 7:45   47,5
7/9/2021 7:46   65,2
7/9/2021 7:47   54,2
7/9/2021 7:48   51,5
7/9/2021 7:49   59,3
7/9/2021 7:50   64,8
7/9/2021 7:51   52,2
7/9/2021 7:52   55,9
7/9/2021 7:53   50,4
7/9/2021 7:54   52,7
7/9/2021 7:55   63,5
7/9/2021 7:56   63,9
7/9/2021 7:57   42,7
7/9/2021 7:58   47,9
7/9/2021 7:59   60,6
7/9/2021 8:00   67,1
7/9/2021 8:01   43,8
7/9/2021 8:02   55,6
7/9/2021 8:03   66,6
7/9/2021 8:04   47
7/9/2021 8:05   52,5
7/9/2021 8:06   43,5
7/9/2021 8:07   51,9
7/9/2021 8:08   62,5
7/9/2021 8:09   50,6
7/9/2021 8:10   57,8
7/9/2021 8:11   54,5
7/9/2021 8:12   49,9
7/9/2021 8:13   49,8
7/9/2021 8:14   60,4
7/9/2021 8:15   56,1
7/9/2021 8:16   40,6
7/9/2021 8:17   50,9
7/9/2021 8:18   45,7
7/9/2021 8:19   40,7
7/9/2021 8:20   57,4
7/9/2021 8:21   53,7
7/9/2021 8:22   51,3
7/9/2021 8:23   69,6
7/9/2021 8:24   47
7/9/2021 8:25   53,9
7/9/2021 8:26   68,8
7/9/2021 8:27   65,5
7/9/2021 8:28   44,1
7/9/2021 8:29   62,5
7/9/2021 8:30   51,7
7/9/2021 8:31   47,6
7/9/2021 8:32   42,5
7/9/2021 8:33   57,4
7/9/2021 8:34   59,2
7/9/2021 8:35   63,7
7/9/2021 8:36   61,4
7/9/2021 8:37   52,5
7/9/2021 8:38   45
7/9/2021 8:39   67,6
7/9/2021 8:40   53,9
7/9/2021 8:41   52,8
7/9/2021 8:42   69,4
7/9/2021 8:43   43
7/9/2021 8:44   57
7/9/2021 8:45   45
7/9/2021 8:46   55,5
7/9/2021 8:47   60
7/9/2021 8:48   46,1
7/9/2021 8:49   46,5
7/9/2021 8:50   48,4
7/9/2021 8:51   57,7
7/9/2021 8:52   63
7/9/2021 8:53   49,9
7/9/2021 8:54   68,3
7/9/2021 8:55   62,6
7/9/2021 8:56   44
7/9/2021 8:57   40,4
7/9/2021 8:58   55,5
7/9/2021 8:59   65
7/9/2021 9:00   55,8
7/9/2021 9:01   57
7/9/2021 9:02   54,5
7/9/2021 9:03   45,9
7/9/2021 9:04   45,7
7/9/2021 9:05   53,7
7/9/2021 9:06   51,8
7/9/2021 9:07   55,4
7/9/2021 9:08   56
7/9/2021 9:09   68,1
7/9/2021 9:10   56,6
7/9/2021 9:11   42,2
7/9/2021 9:12   52,8
7/9/2021 9:13   35,1
7/9/2021 9:14   55,1
7/9/2021 9:15   64,9
7/9/2021 9:16   49,4
7/9/2021 9:17   43,3
7/9/2021 9:18   69,8
7/9/2021 9:19   49,8
7/9/2021 9:20   61,8
7/9/2021 9:21   55,7
7/9/2021 9:22   40,2
7/9/2021 9:23   51,9
7/9/2021 9:24   50,6
7/9/2021 9:25   58,9
7/9/2021 9:26   58,7
7/9/2021 9:27   60,3
