7/9/2021 6:00   67,7
7/9/2021 6:01   66,3
7/9/2021 6:02   53,5
7/9/2021 6:03   43,1
7/9/2021 6:04   45,9
7/9/2021 6:05   40,1
7/9/2021 6:06   64,4
7/9/2021 6:07   43,9
7/9/2021 6:08   64,1
7/9/2021 6:09   55,6
7/9/2021 6:10   47,1
7/9/2021 6:11   70
7/9/2021 6:12   55,9
7/9/2021 6:13   43,6
7/9/2021 6:14   61,5
7/9/2021 6:15   62,9
7/9/2021 6:16   66
7/9/2021 6:17   70
7/9/2021 6:18   53
7/9/2021 6:19   56
7/9/2021 6:20   58,1
7/9/2021 6:21   40,7
7/9/2021 6:22   49,4
7/9/2021 6:23   56,2
7/9/2021 6:24   45,6
7/9/2021 6:25   52
7/9/2021 6:26   64,3
7/9/2021 6:27   58,4
7/9/2021 6:28   65,6
7/9/2021 6:29   41,7
7/9/2021 6:30   66,7
7/9/2021 6:31   49,4
7/9/2021 6:32   45,8
7/9/2021 6:33   64,7
7/9/2021 6:34   52,3
7/9/2021 6:35   44,5
7/9/2021 6:36   45,5
7/9/2021 6:37   42,8
7/9/2021 6:38   42,1
7/9/2021 6:39   45,5
7/9/2021 6:40   103,3
7/9/2021 6:41   69
7/9/2021 6:42   60,4
7/9/2021 7:03   68,5
7/9/2021 7:04   65,7
7/9/2021 7:05   42,5
7/9/2021 7:06   63,3
7/9/2021 7:07   63,9
7/9/2021 7:08   56,8
7/9/2021 7:09   40,2
7/9/2021 7:10   45,8
7/9/2021 7:11   52,8
7/9/2021 7:12   54,5
7/9/2021 7:13   45,1
7/9/2021 7:14   40,1
7/9/2021 7:15   68,2
7/9/2021 7:16   64,4
7/9/2021 7:17   66,7
7/9/2021 7:18   69,1
7/9/2021 7:19   6,4
7/9/2021 7:20   62,9
7/9/2021 7:21   44,3
7/9/2021 7:22   58,7
7/9/2021 7:23   61,9
7/9/2021 7:24   68,1
7/9/2021 7:25   68,1
7/9/2021 7:26   63,4
7/9/2021 7:27   59,6
7/9/2021 7:28   44,4
7/9/2021 7:29   42
7/9/2021 7:30   54,6
7/9/2021 7:31   68,9
7/9/2021 7:32   60,9
7/9/2021 7:33   52,4
7/9/2021 7:34   56,9
7/9/2021 7:35   55,2
7/9/2021 7:36   54
7/9/2021 7:37   63,6
7/9/2021 7:38   49
7/9/2021 7:39   67,2
7/9/2021 7:40   57,5
7/9/2021 7:41   45,7
7/9/2021 7:42   44,6
7/9/2021 7:43   55
7/9/2021 7:44   62,5
7/9/2021 7:45   60
7/9/2021 7:46   40,3
